trial_id,total,w,h,frames_with_cottonoid,frames_with_grasper,frames_with_muscle,frames_with_string,frames_with_suction,frames_with_1_tool(s)_in_view,frames_with_2_tool(s)_in_view,frames_with_3_tool(s)_in_view,frames_with_4_tool(s)_in_view,frames_with_5_tool(s)_in_view,frames_with_at_least_1_tool_in_view,frames_with_0_tools_in_view,first_frame_appear_cottonoid,first_frame_appear_grasper,first_frame_appear_muscle,first_frame_appear_string,first_frame_appear_suction,n_in_n_outs_cottonoid,n_in_n_outs_grasper,n_in_n_outs_muscle,n_in_n_outs_string,n_in_n_outs_suction,total_in_n_outs,area_covered_cottonoid,area_covered_grasper,area_covered_muscle,area_covered_string,area_covered_suction,sd_x1_cottonoid,sd_x1_grasper,sd_x1_muscle,sd_x1_string,sd_x1_suction,sd_x2_cottonoid,sd_x2_grasper,sd_x2_muscle,sd_x2_string,sd_x2_suction,sd_y1_cottonoid,sd_y1_grasper,sd_y1_muscle,sd_y1_string,sd_y1_suction,sd_y2_cottonoid,sd_y2_grasper,sd_y2_muscle,sd_y2_string,sd_y2_suction,sd_z_x1_cottonoid,sd_z_x1_grasper,sd_z_x1_muscle,sd_z_x1_string,sd_z_x1_suction,sd_z_x2_cottonoid,sd_z_x2_grasper,sd_z_x2_muscle,sd_z_x2_string,sd_z_x2_suction,sd_z_y1_cottonoid,sd_z_y1_grasper,sd_z_y1_muscle,sd_z_y1_string,sd_z_y1_suction,sd_z_y2_cottonoid,sd_z_y2_grasper,sd_z_y2_muscle,sd_z_y2_string,sd_z_y2_suction,distance_covered_cottonoid,distance_covered_grasper,distance_covered_muscle,distance_covered_string,distance_covered_suction,tool_speed_cottonoid,tool_speed_grasper,tool_speed_muscle,tool_speed_string,tool_speed_suction,overlap_sc,got_to_sc_step,overlap_gm,got_to_gm_step
S108T1,327,1920,1080,0.394495413,0.318042813,0.091743119,0.525993884,0.752293578,0.211009174,0.278287462,0.305810398,0.091743119,0.006116208,0.892966361,0.107033639,12,1,12,14,1,24,37,18,27,29,135,0.042817523,0.024591409,0.007262797,0.054331565,0.067195468,0.057476858,0.067686278,0.063833555,0.075323471,0.073380381,0.063988583,0.033485743,0.068200585,0.050946323,0.06999204,0.117624322,0.17282536,0.166310175,0.234926942,0.083713924,0.085984205,0.179390207,0.137178721,0.131380355,0.029643894,0.459829342,0.541507277,0.510684519,0.602606742,0.587061527,0.452688666,0.236895639,0.482486571,0.360420906,0.495160257,0.635956468,0.934410538,0.89918505,1.270173603,0.45261397,0.467448623,0.975245459,0.745764932,0.714242417,0.161157477,5.975931456,9.561723999,0.818826443,12.3412649,13.74068975,0.056913633,0.142712298,0.068235537,0.085112172,0.063321151,0.256880734,1,0.033639144,1
S108T2,97,1920,1080,0.515463918,0.391752577,0.350515464,0.319587629,0.824742268,0.216494845,0.134020619,0.195876289,0.268041237,0.051546392,0.865979381,0.134020619,14,14,16,15,5,6,7,8,11,4,36,0.036432959,0.03364808,0.021432715,0.007696279,0.10595636,0.032478059,0.048980051,0.031191216,0.044251315,0.088545768,0.033622082,0.041285523,0.030476838,0.023684872,0.086646746,0.096078194,0.136976625,0.107357723,0.131672311,0.060979789,0.086022814,0.19067434,0.047601926,0.074377977,0.016936655,0.259832656,0.391852746,0.249537588,0.354021666,0.708388449,0.237860176,0.292075359,0.215609073,0.167559157,0.612984349,0.519463563,0.740588083,0.580448309,0.71190938,0.329697896,0.467658519,1.036591057,0.258785375,0.404351972,0.092075236,1.930372807,3.407347611,0.831958538,0.78856284,3.612478627,0.043872109,0.109914439,0.031998405,0.039428142,0.047532614,0.24742268,1,0.24742268,1
S109T1,315,1920,1080,0.279365079,0.542857143,0.253968254,0.355555556,0.758730159,0.161904762,0.196825397,0.276190476,0.177777778,0.019047619,0.831746032,0.168253968,20,3,21,19,2,29,24,23,22,23,121,0.019636475,0.057018336,0.020482365,0.021053166,0.069601579,0.041814079,0.066727567,0.046557864,0.06083928,0.102727777,0.058907325,0.038832854,0.059417637,0.0938695,0.094556806,0.058377089,0.148785424,0.050075023,0.273772473,0.121562085,0.08296939,0.161472244,0.077624143,0.264034805,0.12394483,0.334523161,0.533837347,0.372474643,0.486729567,0.82184809,0.416741195,0.274723897,0.420351409,0.664081883,0.66894425,0.315625945,0.804434421,0.270739373,1.480198759,0.657246672,0.45105874,0.877835394,0.421999588,1.435411384,0.673819576,2.258989451,10.14353956,2.557072794,5.863151528,19.98048625,0.038287957,0.06900367,0.044860926,0.065146128,0.092502251,0.015873016,1,0.165079365,1
S109T2,65,1920,1080,0.4,0.415384615,0.338461538,0.015384615,0.753846154,0.246153846,0.261538462,0.215384615,0.107692308,0.015384615,0.846153846,0.153846154,25,25,25,46,5,6,2,4,1,4,17,0.03332688,0.0673003,0.024259878,0.004064995,0.053719479,0.020409029,0.043746715,0.0450978,NA,0.059589515,0.039957892,0.086123893,0.051675307,NA,0.050099011,0.064051445,0.111588776,0.100976284,NA,0.139908411,0.077577479,0.108688024,0.086839585,NA,0.143836285,0.163277371,0.349984738,0.360793762,NA,0.476731128,0.282683003,0.609285413,0.365578121,NA,0.354426578,0.346305339,0.603324234,0.545945939,NA,0.756439297,0.4217459,0.590876747,0.472098854,NA,0.781958426,0.446638961,1.93214521,0.562145953,0,2.94304814,0.022331948,0.077285808,0.031230331,0,0.06540107,0.276923077,1,0.261538462,1
S110T1,309,1920,1080,0.194174757,0.404530744,0.187702265,0.210355987,0.524271845,0.339805825,0.203883495,0.132686084,0.077669903,0.012944984,0.766990291,0.233009709,27,2,48,27,8,21,35,15,16,39,126,0.019621515,0.024518338,0.019966063,0.020576477,0.044321758,0.046297656,0.051550733,0.048761212,0.115258679,0.052443849,0.050560799,0.031181314,0.035350694,0.116849153,0.050474879,0.143237489,0.160815062,0.100089869,0.165166544,0.200949397,0.129263379,0.169711085,0.137879567,0.147200775,0.205267108,0.370392908,0.412418845,0.390101982,0.922098462,0.419564,0.35769351,0.220592906,0.250089281,0.82665196,0.357085667,0.774438537,0.86947476,0.541153386,0.893001807,1.086468063,0.702733587,0.922625422,0.749575041,0.800249302,1.11592388,1.711087518,6.665307648,1.874609012,3.60215908,9.249160603,0.043874039,0.074058974,0.043595558,0.073513451,0.075196428,0.048543689,1,0.106796117,1
S110T2,262,1920,1080,0.408396947,0.393129771,0.290076336,0.133587786,0.790076336,0.297709924,0.190839695,0.187022901,0.160305344,0.026717557,0.86259542,0.13740458,14,14,23,21,1,18,16,19,8,13,74,0.035651423,0.032505354,0.027340657,0.004461181,0.083466652,0.05254492,0.074220508,0.071968945,0.061527426,0.099739767,0.062675558,0.077388859,0.06365158,0.079618374,0.094355506,0.105805981,0.142599449,0.125818949,0.146904497,0.072675339,0.076065524,0.145968406,0.092744782,0.090349764,0.038723071,0.420372595,0.593782755,0.575769691,0.492234904,0.797943258,0.44339964,0.547489218,0.45030453,0.563261977,0.667520147,0.572058545,0.770988863,0.680262155,0.794264859,0.392931931,0.413526234,0.793549591,0.504202146,0.491181759,0.210515948,3.649689823,6.423066603,2.427258772,0.989972181,10.68787644,0.041007751,0.073828352,0.042583487,0.036665636,0.055092147,0.095419847,1,0.187022901,1
S111T1,123,1920,1080,0.365853659,0.520325203,0.341463415,0.333333333,0.772357724,0.268292683,0.219512195,0.227642276,0.154471545,0.06504065,0.93495935,0.06504065,18,18,17,27,1,14,15,10,9,13,61,0.032041576,0.049916168,0.031958106,0.013292641,0.086122285,0.050070791,0.119922284,0.050403702,0.045363657,0.146098717,0.051316373,0.085215137,0.049830426,0.062611641,0.097717557,0.089175254,0.138593319,0.064669372,0.141890727,0.194036466,0.115712492,0.180000342,0.079776512,0.161222457,0.152878683,0.400578939,0.959408479,0.403242312,0.362920683,1.168826533,0.363038831,0.602856402,0.352526471,0.442947461,0.691305053,0.48214161,0.749329023,0.349646273,0.767157035,1.049092091,0.6290649,0.978562428,0.433700826,0.876477439,0.831116949,0.841561452,3.863074626,0.968513258,1.955415182,8.151152741,0.027147144,0.078838258,0.030266039,0.061106724,0.099404302,0.040650407,1,0.260162602,1
S111T2,137,1920,1080,0.350364964,0.562043796,0.138686131,0.233576642,0.562043796,0.270072993,0.240875912,0.211678832,0.087591241,0.02189781,0.832116788,0.167883212,14,14,32,15,1,13,11,11,8,13,56,0.025459539,0.054017593,0.008624653,0.016162778,0.049958871,0.066985672,0.058846011,0.066903413,0.083792917,0.082161795,0.058113118,0.030321012,0.056178099,0.12489424,0.101912937,0.136277986,0.175582323,0.146912272,0.146911353,0.203727716,0.144934662,0.163755715,0.132780726,0.190803053,0.238039637,0.535902251,0.47078291,0.535244159,0.670364445,0.657315059,0.411122557,0.214506679,0.397433223,0.883567109,0.720985359,0.736810766,0.94931654,0.794306896,0.794301923,1.101489531,0.787929697,0.890249364,0.721855459,1.037290803,1.294090016,1.894878821,3.809221141,0.078444712,1.642481589,3.9081124,0.054139395,0.057715472,0.009805589,0.068436733,0.061064256,0.04379562,1,0.087591241,1
S112T1,63,1920,1080,0.698412698,0.333333333,0.349206349,0.253968254,0.936507937,0.206349206,0.063492063,0.444444444,0.206349206,0.015873016,0.936507937,0.063492063,16,16,16,33,5,3,5,5,3,1,17,0.055221708,0.026976652,0.024160708,0.004334013,0.098454016,0.035237011,0.056536637,0.027773589,0.013269857,0.057736581,0.050894102,0.024513309,0.055611761,0.008132394,0.047961672,0.064111097,0.080915763,0.071538848,0.036825277,0.049701299,0.071027769,0.058810699,0.047178777,0.019499212,0.003316469,0.281904963,0.452307333,0.222195709,0.106162199,0.461907188,0.360051465,0.173419955,0.393426649,0.057532804,0.339305924,0.346627861,0.437485224,0.386787294,0.199102302,0.268718764,0.386138744,0.319721282,0.256484951,0.106006444,0.018029811,1.635720138,1.000539619,0.528329832,0.31890214,2.212129352,0.039895613,0.062533726,0.031078225,0.024530934,0.038140161,0.571428571,1,0.222222222,1
S112T2,122,1920,1080,0.31147541,0.393442623,0.139344262,0.090163934,0.827868852,0.344262295,0.360655738,0.18852459,0.032786885,0,0.926229508,0.073770492,12,2,13,12,1,7,10,7,6,9,39,0.024463368,0.03420296,0.01273384,0.002889595,0.089243988,0.038163198,0.057244806,0.052618769,0.066366516,0.081012141,0.039396872,0.030986496,0.020767554,0.037474586,0.063085379,0.094644368,0.184527971,0.110043484,0.228745296,0.065664917,0.088199195,0.142896915,0.08702931,0.119720486,0.00269961,0.305315195,0.457972868,0.420963406,0.530948842,0.648117536,0.278714053,0.219214662,0.14692053,0.265114803,0.446298929,0.511711332,0.997682749,0.594969343,1.236751453,0.355028861,0.479490303,0.776851593,0.473130286,0.650854148,0.014676288,1.261868194,3.296399362,0.250366848,0.094968957,5.569843805,0.040705426,0.086747352,0.025036685,0.018993791,0.06054178,0.172131148,1,0.06557377,1
